 Time,PM1,PM2.5,PM10,Temp,Humidity,Latitude,Longitude
08:16:51,040,068,080,27,99,00.000000,00.000000
08:17:51,031,048,057,27,99,00.000000,00.000000
08:18:51,027,040,048,27,90,00.000000,00.000000
08:19:51,027,040,049,26,91,00.000000,00.000000
08:20:51,027,040,049,26,93,00.000000,00.000000
08:21:51,027,040,048,26,93,00.000000,00.000000
08:22:51,028,041,050,26,93,00.000000,00.000000
12:15:38,037,066,078,30,99,23.212061,72.684967
12:16:38,035,059,072,31,99,23.211329,72.684929
12:17:38,034,054,068,31,99,23.211042,72.685532
12:18:38,035,063,095,31,98,23.210672,72.685638
12:19:38,035,064,100,31,99,23.210672,72.685638
12:20:38,033,052,066,31,99,23.210672,72.685638
12:21:38,032,048,060,32,96,23.210672,72.685638
12:22:38,032,048,060,33,94,23.210672,72.685638
12:23:38,032,048,059,34,92,23.210672,72.685638
12:24:38,031,046,057,34,91,23.210672,72.685638
12:25:38,032,047,057,35,89,23.210672,72.685638
12:26:38,032,047,057,35,85,23.210672,72.685638
12:27:38,032,047,059,36,85,23.210672,72.685638
12:28:38,032,046,057,36,84,23.210672,72.685638
12:29:37,031,045,055,36,83,23.210672,72.685638
12:30:37,031,045,054,36,83,23.210672,72.685638
12:31:37,031,045,055,36,82,23.210672,72.685638
12:32:37,032,046,056,36,82,23.210672,72.685638
12:33:37,031,044,053,36,80,23.210672,72.685638
12:34:37,030,043,052,36,79,23.210672,72.685638
12:35:37,030,043,053,37,80,23.210672,72.685638
12:36:37,030,042,049,37,78,23.210672,72.685638
12:37:37,030,041,049,37,77,23.210672,72.685638
12:38:37,036,051,062,37,76,23.210672,72.685638
12:39:37,057,087,100,37,77,23.210672,72.685638
12:40:39,030,043,051,37,76,23.210672,72.685638
12:41:39,029,041,048,37,76,23.210672,72.685638
12:42:39,034,049,059,38,74,23.210672,72.685638
12:43:39,029,041,050,38,74,23.210672,72.685638
12:44:39,028,040,049,38,74,23.210672,72.685638
