 Time,PM1,PM2.5,PM10,Temp,Humidity,Latitude,Longitude
00:00:26,044,057,069,28,95,00.000000,00.000000
00:01:25,041,053,066,28,95,00.000000,00.000000
00:02:25,040,053,067,28,96,00.000000,00.000000
00:03:25,052,069,078,28,96,00.000000,00.000000
00:04:25,079,120,134,28,96,00.000000,00.000000
00:05:25,090,146,172,28,96,00.000000,00.000000
00:06:25,083,131,152,28,96,00.000000,00.000000
00:07:25,109,183,218,28,96,00.000000,00.000000
00:08:25,127,219,262,28,96,00.000000,00.000000
00:09:25,117,200,236,28,96,00.000000,00.000000
00:10:25,129,227,267,28,96,00.000000,00.000000
00:11:25,128,224,270,28,96,00.000000,00.000000
00:12:25,138,240,287,28,97,00.000000,00.000000
00:13:25,143,254,304,28,97,00.000000,00.000000
00:14:25,139,244,292,28,98,00.000000,00.000000
00:15:25,135,232,269,28,98,00.000000,00.000000
00:16:23,131,225,266,28,98,00.000000,00.000000
00:17:23,126,217,257,28,99,00.000000,00.000000
00:18:23,121,208,249,28,99,00.000000,00.000000
00:19:23,117,198,237,28,99,00.000000,00.000000
00:20:23,114,192,225,28,99,00.000000,00.000000
00:21:23,112,186,222,28,99,00.000000,00.000000
00:22:23,109,183,215,28,99,00.000000,00.000000
00:23:23,108,177,210,28,99,00.000000,00.000000
00:24:23,106,174,203,28,99,00.000000,00.000000
00:25:23,104,167,196,28,99,00.000000,00.000000
00:26:23,099,161,185,28,99,00.000000,00.000000
00:27:23,097,156,178,28,99,00.000000,00.000000
00:28:23,092,148,171,28,99,00.000000,00.000000
00:29:22,091,146,169,28,99,00.000000,00.000000
00:30:22,086,133,153,28,99,00.000000,00.000000
00:31:22,084,131,152,28,99,00.000000,00.000000
00:32:22,081,127,148,28,99,00.000000,00.000000
00:33:22,081,124,142,28,99,00.000000,00.000000
00:34:22,079,124,143,28,99,00.000000,00.000000
00:35:22,078,123,143,28,99,00.000000,00.000000
00:36:22,078,123,144,28,99,00.000000,00.000000
00:37:22,078,122,138,28,99,00.000000,00.000000
00:38:22,078,122,139,28,99,00.000000,00.000000
00:39:22,076,120,137,28,99,00.000000,00.000000
00:40:22,076,118,135,28,99,00.000000,00.000000
00:41:23,077,117,131,28,99,00.000000,00.000000
00:42:23,075,115,133,28,99,00.000000,00.000000
00:43:23,074,116,134,28,99,00.000000,00.000000
00:44:22,074,115,131,28,99,00.000000,00.000000
00:45:22,074,112,130,28,99,00.000000,00.000000
00:46:22,073,113,129,28,99,00.000000,00.000000
00:47:22,073,113,129,28,99,00.000000,00.000000
00:48:22,074,112,125,28,99,00.000000,00.000000
00:49:22,072,110,125,28,99,00.000000,00.000000
00:50:22,072,110,124,28,99,00.000000,00.000000
00:51:22,070,110,126,28,99,00.000000,00.000000
00:52:22,069,109,121,28,99,00.000000,00.000000
00:53:22,071,108,123,28,99,00.000000,00.000000
00:54:22,070,108,122,28,99,00.000000,00.000000
00:55:22,068,105,120,28,99,00.000000,00.000000
00:56:22,069,107,123,28,99,00.000000,00.000000
00:57:22,068,104,118,28,99,00.000000,00.000000
00:58:20,068,105,117,28,99,00.000000,00.000000
00:59:20,069,106,121,28,99,00.000000,00.000000
01:00:20,068,103,116,28,99,00.000000,00.000000
01:01:20,068,103,118,28,99,00.000000,00.000000
01:02:20,067,104,118,28,99,00.000000,00.000000
01:03:20,066,101,117,28,99,00.000000,00.000000
01:04:20,066,101,112,28,99,00.000000,00.000000
01:05:20,067,100,112,28,99,00.000000,00.000000
01:06:20,067,101,114,28,99,00.000000,00.000000
01:07:20,066,099,110,28,99,00.000000,00.000000
01:08:20,066,100,112,28,99,00.000000,00.000000
01:09:20,064,098,109,28,99,00.000000,00.000000
01:10:20,065,100,115,28,99,00.000000,00.000000
01:11:20,065,099,113,28,99,00.000000,00.000000
01:12:20,064,097,110,28,99,00.000000,00.000000
01:13:20,065,100,112,28,99,00.000000,00.000000
01:14:20,065,098,109,28,99,00.000000,00.000000
01:15:20,065,097,111,28,99,00.000000,00.000000
01:16:20,064,097,109,28,99,00.000000,00.000000
01:17:20,062,097,110,28,99,00.000000,00.000000
01:18:20,063,094,104,28,99,00.000000,00.000000
01:19:20,063,094,105,28,99,00.000000,00.000000
01:20:20,061,095,106,28,99,00.000000,00.000000
01:21:20,062,093,105,28,99,00.000000,00.000000
01:22:20,061,093,103,28,99,00.000000,00.000000
01:23:20,062,093,103,28,99,00.000000,00.000000
01:24:20,060,091,103,28,99,00.000000,00.000000
01:25:20,061,091,099,28,98,00.000000,00.000000
01:26:20,060,090,102,28,98,00.000000,00.000000
01:27:19,061,093,105,28,98,00.000000,00.000000
01:28:19,061,091,101,28,98,00.000000,00.000000
01:29:19,060,090,100,28,98,00.000000,00.000000
01:30:19,060,088,098,28,98,00.000000,00.000000
01:31:19,059,089,097,28,99,00.000000,00.000000
01:32:19,059,087,098,28,99,00.000000,00.000000
01:33:19,059,088,099,28,98,00.000000,00.000000
01:34:19,058,087,098,28,99,00.000000,00.000000
01:35:19,058,087,099,28,98,00.000000,00.000000
01:36:19,057,086,095,28,98,00.000000,00.000000
01:37:19,057,085,096,28,98,00.000000,00.000000
01:38:19,057,085,096,28,98,00.000000,00.000000
01:39:19,056,084,096,28,98,00.000000,00.000000
01:40:19,057,084,094,28,98,00.000000,00.000000
01:41:17,057,084,092,28,98,00.000000,00.000000
01:42:17,056,082,091,28,98,00.000000,00.000000
01:43:17,056,081,090,28,98,00.000000,00.000000
01:44:17,056,083,092,28,98,00.000000,00.000000
01:45:17,052,077,087,28,98,00.000000,00.000000
01:46:17,054,079,087,28,98,00.000000,00.000000
01:47:17,054,081,092,28,98,00.000000,00.000000
01:48:17,054,081,090,28,98,00.000000,00.000000
01:49:17,054,082,091,28,98,00.000000,00.000000
01:50:17,052,077,085,28,98,00.000000,00.000000
01:51:17,052,075,084,28,98,00.000000,00.000000
01:52:17,049,073,082,28,98,00.000000,00.000000
01:53:19,049,070,079,28,97,00.000000,00.000000
01:54:19,049,071,080,28,98,00.000000,00.000000
01:55:19,052,076,083,28,98,00.000000,00.000000
01:56:18,048,070,079,28,98,00.000000,00.000000
01:57:18,046,068,078,28,98,00.000000,00.000000
01:58:18,049,069,077,28,98,00.000000,00.000000
01:59:18,050,072,080,28,98,00.000000,00.000000
02:00:18,047,068,076,28,97,00.000000,00.000000
02:01:18,044,066,075,28,98,00.000000,00.000000
