 Time,PM1,PM2.5,PM10,Temp,Humidity,Latitude,Longitude
00:00:43,036,049,063,33,97,23.210672,72.685638
00:01:43,035,049,063,33,97,23.210672,72.685638
00:02:43,035,049,062,33,97,23.210672,72.685638
00:03:43,036,050,063,33,97,23.210672,72.685638
00:04:43,038,051,063,33,97,23.210672,72.685638
00:05:43,039,051,064,33,96,23.210672,72.685638
00:06:43,039,051,065,33,97,23.210672,72.685638
00:07:43,041,052,064,33,97,23.210672,72.685638
00:08:43,039,051,064,33,97,23.210672,72.685638
00:09:43,040,052,065,33,97,23.210672,72.685638
00:10:43,039,051,066,33,97,23.210672,72.685638
00:11:43,038,051,065,33,97,23.210672,72.685638
00:12:43,038,051,066,33,97,23.210672,72.685638
00:13:43,038,051,064,33,97,23.210672,72.685638
00:14:43,038,051,064,33,97,23.210672,72.685638
00:15:43,038,051,065,33,97,23.210672,72.685638
00:16:43,037,050,062,33,97,23.210672,72.685638
00:17:43,038,051,064,33,97,23.210672,72.685638
00:18:43,037,050,063,33,97,23.210672,72.685638
00:19:42,037,050,063,33,97,23.210672,72.685638
00:20:42,037,049,062,33,97,23.210672,72.685638
00:21:42,036,050,063,33,97,23.210672,72.685638
00:22:42,036,050,062,33,97,23.210672,72.685638
00:23:42,036,049,061,33,97,23.210672,72.685638
00:24:42,035,049,062,33,97,23.210672,72.685638
00:25:42,035,049,062,33,97,23.210672,72.685638
00:26:42,036,050,062,33,97,23.210672,72.685638
00:27:42,035,049,063,33,97,23.210672,72.685638
00:28:42,035,049,063,33,97,23.210672,72.685638
00:29:42,036,049,062,33,97,23.210672,72.685638
00:30:43,035,048,061,33,97,23.210672,72.685638
00:31:43,035,048,060,33,97,23.210672,72.685638
00:32:43,035,048,058,33,97,23.210672,72.685638
00:33:43,034,049,061,33,97,23.210672,72.685638
00:34:43,034,048,060,33,97,23.210672,72.685638
00:35:43,034,048,060,33,97,23.210672,72.685638
00:36:43,034,048,061,33,97,23.210672,72.685638
00:37:43,035,048,061,33,97,23.210672,72.685638
00:38:43,034,048,061,33,97,23.210672,72.685638
00:39:43,034,047,060,33,97,23.210672,72.685638
00:40:43,035,048,061,33,97,23.210672,72.685638
00:41:43,034,048,061,33,97,23.210672,72.685638
00:42:43,034,048,061,34,97,23.210672,72.685638
00:43:43,034,047,061,33,97,23.210672,72.685638
00:44:43,033,047,059,33,97,23.210672,72.685638
00:45:43,034,048,060,33,97,23.210672,72.685638
00:46:43,034,048,061,33,97,23.210672,72.685638
00:47:42,034,047,059,33,97,23.210672,72.685638
00:48:42,034,047,061,33,97,23.210672,72.685638
00:49:42,034,048,061,33,97,23.210672,72.685638
00:50:42,034,047,059,33,97,23.210672,72.685638
00:51:42,033,047,061,33,97,23.210672,72.685638
00:52:42,033,047,058,33,97,23.210672,72.685638
00:53:42,034,047,059,33,97,23.210672,72.685638
00:54:42,033,047,059,33,97,23.210672,72.685638
00:55:42,033,045,057,33,97,23.210672,72.685638
00:56:42,033,047,061,33,97,23.210672,72.685638
00:57:42,034,046,059,33,97,23.210672,72.685638
00:58:42,033,046,058,33,97,23.210672,72.685638
00:59:42,034,047,059,33,97,23.210672,72.685638
01:00:42,033,046,057,33,97,23.210672,72.685638
01:01:41,033,047,058,33,97,23.210672,72.685638
01:02:41,033,047,059,33,97,23.210672,72.685638
01:03:41,033,046,059,33,97,23.210672,72.685638
01:04:41,033,046,058,33,97,23.210672,72.685638
01:05:41,033,046,058,33,98,23.210672,72.685638
01:06:41,033,047,060,33,98,23.210672,72.685638
01:07:41,033,046,058,33,98,23.210672,72.685638
01:08:41,033,045,057,33,98,23.210672,72.685638
01:09:41,033,046,059,33,98,23.210672,72.685638
01:10:41,033,046,058,33,98,23.210672,72.685638
01:11:41,033,046,058,33,98,23.210672,72.685638
01:12:41,033,045,057,33,98,23.210672,72.685638
01:13:41,033,046,058,33,98,23.210672,72.685638
01:14:41,032,045,057,33,98,23.210672,72.685638
01:15:40,033,046,056,33,98,23.210672,72.685638
01:16:40,031,044,056,33,98,23.210672,72.685638
01:17:40,032,045,057,33,98,23.210672,72.685638
01:18:40,033,046,057,33,98,23.210672,72.685638
01:19:40,033,045,057,33,98,23.210672,72.685638
01:20:40,033,046,057,33,98,23.210672,72.685638
01:21:40,032,045,055,33,98,23.210672,72.685638
01:22:40,032,045,056,33,98,23.210672,72.685638
01:23:40,033,046,059,33,98,23.210672,72.685638
01:24:40,033,045,057,33,98,23.210672,72.685638
01:25:40,032,045,057,33,98,23.210672,72.685638
01:26:40,032,045,057,33,98,23.210672,72.685638
01:27:40,033,045,056,33,98,23.210672,72.685638
01:28:40,032,045,056,33,98,23.210672,72.685638
01:29:39,033,046,058,33,98,23.210672,72.685638
01:30:39,032,045,057,33,98,23.210672,72.685638
01:31:39,032,045,056,33,98,23.210672,72.685638
01:32:39,032,045,056,33,98,23.210672,72.685638
01:33:39,033,046,057,33,98,23.210672,72.685638
01:34:39,033,046,057,33,98,23.210672,72.685638
01:35:39,032,045,057,33,98,23.210672,72.685638
01:36:39,033,046,057,33,98,23.210672,72.685638
01:37:39,033,046,058,33,98,23.210672,72.685638
01:38:39,033,045,057,33,98,23.210672,72.685638
01:39:39,033,046,058,33,98,23.210672,72.685638
01:40:39,033,045,057,33,98,23.210672,72.685638
01:41:39,033,046,059,33,98,23.210672,72.685638
01:42:39,033,046,059,33,98,23.210672,72.685638
01:43:39,032,045,057,33,98,23.210672,72.685638
01:44:39,032,045,057,33,98,23.210672,72.685638
01:45:39,033,046,059,33,98,23.210672,72.685638
01:46:39,032,045,058,33,98,23.210672,72.685638
01:47:39,033,045,059,33,98,23.210672,72.685638
01:48:39,033,045,057,33,98,23.210672,72.685638
01:49:39,033,046,057,33,98,23.210672,72.685638
01:50:39,032,045,057,33,98,23.210672,72.685638
01:51:39,033,046,058,33,98,23.210672,72.685638
01:52:39,032,045,056,33,98,23.210672,72.685638
01:53:39,033,046,057,33,98,23.210672,72.685638
01:54:39,033,046,059,33,98,23.210672,72.685638
01:55:39,033,047,060,33,98,23.210672,72.685638
01:56:39,033,047,059,33,98,23.210672,72.685638
01:57:39,034,047,059,33,98,23.210672,72.685638
01:58:38,033,047,060,33,98,23.210672,72.685638
01:59:38,033,047,060,32,98,23.210672,72.685638
02:00:38,033,047,061,33,98,23.210672,72.685638
02:01:38,033,047,060,33,98,23.210672,72.685638
02:02:38,033,047,059,33,98,23.210672,72.685638
02:03:38,033,046,058,33,98,23.210672,72.685638
02:04:38,034,047,060,33,98,23.210672,72.685638
02:05:38,033,047,059,33,98,23.210672,72.685638
02:06:38,033,047,060,33,98,23.210672,72.685638
02:07:38,034,048,061,33,98,23.210672,72.685638
02:08:38,033,047,061,32,98,23.210672,72.685638
02:09:38,033,048,061,33,98,23.210672,72.685638
02:10:38,033,047,059,33,98,23.210672,72.685638
02:11:37,033,047,058,33,98,23.210672,72.685638
02:12:37,033,047,059,33,98,23.210672,72.685638
02:13:37,034,048,061,33,98,23.210672,72.685638
02:14:37,034,048,061,33,98,23.210672,72.685638
02:15:37,033,047,060,33,98,23.210672,72.685638
02:16:37,033,047,060,32,98,23.210672,72.685638
02:17:37,033,047,059,33,98,23.210672,72.685638
02:18:37,033,046,058,32,98,23.210672,72.685638
02:19:37,034,047,059,33,98,23.210672,72.685638
